experiment_number,ligand,n,km_mean,km_std,vmax_mean,vmax_std,r_squared_mean,r_squared_std
13.0,Lauric Acid,2.0,392.4609201895287,555.0235560334543,0.020997887823843715,0.019644983471487344,0.23723024118079283,0.9216683590084443
18.0,Arachadonic Acid,4.0,119.12500591777246,7.9887304105233765,0.23866528754268984,0.008198904125007761,0.9983543038770957,0.0012687908785590965
19.0,4-Phenylimidazole,5.0,6.0483672987105965,3.144837671231718,0.04601371650276346,0.011473220685736972,-0.2524928318272866,2.2750649135647287
19.0,Arachadonic Acid,5.0,121.78942761956345,27.478261029228587,0.24829847848074832,0.027672732560165184,0.9980726236585816,0.0003176776403509907
19.0,Lauric Acid,5.0,1653.8109307273294,380.49724474484503,0.04980172010545351,0.006384023864245559,0.9870924231007698,0.00735702202105149
19.0,Palmitic Acid,5.0,9.52910710311142,4.57201742767759,0.1747728407094015,0.0341213831804694,0.96311819853707,0.03270819995556353
